                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3297,                  2.568,                 1.0618,                0.59612,                0.43541,                0.46995,                0.26372,                 1.2027,                 2.2508,                0.98961,             0.00021671,             0.00021671,             0.00021671
                      2,                  1.238,                0.87691,                 1.0061,                0.07773,                0.42064,                0.05572,                0.02985,                 1.3966,                    inf,                 1.1061,             0.00044563,             0.00044563,             0.00044563
                      3,                 1.2217,                0.76326,                 1.0012,                0.38917,                0.35544,                0.26625,                0.15579,                 1.4378,                  3.198,                 1.1377,             0.00066994,             0.00066994,             0.00066994
                      4,                 1.2563,                0.76879,                 1.0227,                0.61636,                0.41859,                 0.4345,                0.22324,                 1.3989,                 1.5451,                 1.1385,             0.00088962,             0.00088962,             0.00088962
                      5,                 1.2063,                0.73838,                 1.0046,                0.63225,                0.44487,                  0.435,                0.22724,                 1.3959,                 1.2182,                 1.1391,              0.0011047,              0.0011047,              0.0011047
                      6,                 1.1907,                0.72147,                  1.001,                0.53592,                0.40524,                0.41392,                0.21594,                 1.4109,                 1.2198,                 1.1287,              0.0013151,              0.0013151,              0.0013151
                      7,                 1.1935,                0.74444,                0.99794,                0.68119,                0.37707,                 0.4237,                 0.2127,                 1.4786,                 1.4325,                  1.207,              0.0015209,              0.0015209,              0.0015209
                      8,                 1.2149,                0.74575,                 1.0183,                0.55741,                0.36229,                0.36387,                0.17876,                 1.5472,                 2.1198,                 1.2367,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2396,                0.72847,                 1.0047,                0.51577,                0.39056,                0.39736,                0.20962,                 1.4586,                 1.5099,                 1.1994,               0.001535,               0.001535,               0.001535
                     10,                 1.2073,                0.70888,                0.99756,                0.59355,                0.39878,                 0.4084,                0.21625,                  1.461,                 1.5395,                 1.1679,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2221,                0.71445,                 1.0068,                0.47541,                0.42282,                0.36613,                0.18988,                 1.4547,                 1.9788,                 1.1384,               0.001502,               0.001502,               0.001502
                     12,                  1.206,                0.68896,                 1.0044,                0.46707,                0.34124,                0.32117,                 0.1731,                 1.4785,                 1.3998,                 1.1272,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.183,                0.66835,                0.98091,                0.61163,                0.48511,                 0.5123,                0.28635,                 1.3159,                 1.0995,                 1.0908,               0.001469,               0.001469,               0.001469
                     14,                 1.1247,                0.64319,                0.97441,                0.65653,                0.49347,                0.52435,                0.28261,                 1.3148,                 1.0433,                 1.0796,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1332,                0.64956,                 0.9787,                0.62437,                0.48326,                0.50374,                0.27336,                 1.3224,                 1.1807,                 1.0711,               0.001436,               0.001436,               0.001436
                     16,                 1.1261,                0.64254,                0.97324,                0.60628,                0.51839,                0.52356,                 0.2852,                 1.3232,                  1.005,                 1.0757,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1479,                0.63955,                0.97756,                0.74812,                0.53325,                0.58455,                0.32918,                 1.2603,                0.78752,                 1.0421,              0.0014029,              0.0014029,              0.0014029
                     18,                    1.1,                0.60733,                0.95904,                0.76715,                0.51732,                0.58075,                0.32675,                 1.2379,                0.78156,                 1.0398,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0952,                0.60292,                0.95509,                0.78774,                0.53879,                0.61689,                0.33946,                 1.2458,                0.70464,                 1.0325,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.094,                0.60623,                0.95016,                0.72728,                0.53856,                 0.5915,                0.32792,                 1.2775,                0.74186,                 1.0449,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0788,                0.60622,                0.95615,                0.70358,                0.48821,                0.54528,                0.29282,                 1.3192,                0.89829,                 1.0723,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0634,                  0.587,                0.94942,                0.69142,                 0.4859,                0.54316,                0.29977,                 1.2649,                0.82322,                 1.0626,              0.0013204,              0.0013204,              0.0013204
