                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3879,                 2.9089,                 1.0997,                0.44224,                0.38396,                0.37715,                0.22974,                 1.1579,                 1.2765,                 0.9856,                 0.0883,                 0.0013,                 0.0013
                      2,                 1.2443,                0.96236,                  1.022,                0.67212,                0.45827,                0.52169,                0.28242,                 1.2759,                0.84674,                0.99618,               0.075673,              0.0026733,              0.0026733
                      3,                 1.1318,                0.73356,                0.95968,                0.70071,                0.49597,                0.56237,                0.31056,                 1.2086,                0.70648,                0.96335,               0.063019,              0.0040188,              0.0040188
                      4,                 1.1263,                0.71486,                 0.9536,                0.71682,                0.52283,                0.58497,                0.33101,                 1.1814,                0.72938,                0.95344,               0.050337,              0.0053367,              0.0053367
                      5,                 1.1356,                0.72868,                0.95118,                0.77596,                 0.5668,                 0.6278,                0.35834,                  1.141,                0.76509,                0.95829,               0.037627,              0.0066268,              0.0066268
                      6,                 1.1858,                0.68333,                0.96176,                 0.7632,                0.56778,                0.62452,                0.35065,                 1.1643,                0.70886,                0.96362,               0.024889,              0.0078891,              0.0078891
                      7,                  1.176,                0.71871,                0.95636,                0.72935,                 0.5379,                0.60202,                0.30598,                 1.3101,                0.77946,                 1.0049,               0.012124,              0.0091238,              0.0091238
                      8,                 1.1516,                0.72236,                0.96062,                0.80519,                0.53618,                0.62666,                0.34066,                 1.2708,                0.73464,                0.99772,               0.009307,               0.009307,               0.009307
                      9,                 1.1697,                0.67497,                0.95392,                0.80549,                0.54938,                0.62751,                0.33902,                 1.2255,                0.93864,                 1.0043,               0.009208,               0.009208,               0.009208
                     10,                 1.1206,                0.69688,                0.94045,                0.77194,                0.57761,                0.62238,                0.33941,                 1.2092,                0.78407,                 0.9966,               0.009109,               0.009109,               0.009109
                     11,                  1.158,                0.61683,                0.95627,                0.76445,                0.56967,                0.63462,                0.33395,                 1.3021,                0.80088,                 1.0136,                0.00901,                0.00901,                0.00901
                     12,                 1.1314,                0.61142,                0.95163,                0.76593,                0.54229,                0.61315,                0.33942,                 1.2422,                0.72306,                  1.004,               0.008911,               0.008911,               0.008911
                     13,                  1.143,                0.61303,                0.94381,                  0.793,                0.53744,                0.61518,                0.33576,                 1.2545,                 0.7132,                0.99519,               0.008812,               0.008812,               0.008812
                     14,                 1.0873,                0.58739,                0.93421,                0.81714,                 0.5564,                0.62509,                0.35825,                 1.1663,                0.76182,                0.98103,               0.008713,               0.008713,               0.008713
                     15,                 1.1065,                 0.6014,                0.93672,                0.76055,                 0.5439,                0.61223,                0.33245,                 1.2511,                0.77297,                 1.0061,               0.008614,               0.008614,               0.008614
                     16,                 1.0698,                0.58313,                0.92805,                0.78768,                0.58395,                0.63865,                 0.3563,                 1.2187,                0.68945,                0.99695,               0.008515,               0.008515,               0.008515
                     17,                 1.0913,                0.56937,                0.93158,                0.83322,                0.56439,                0.64497,                0.36888,                 1.1431,                0.61505,                0.97661,               0.008416,               0.008416,               0.008416
                     18,                 1.0435,                0.56637,                0.92202,                0.79054,                0.55355,                0.62736,                0.34968,                 1.1903,                0.63017,                0.98682,               0.008317,               0.008317,               0.008317
                     19,                 1.0851,                0.55654,                0.92779,                0.81192,                0.57576,                0.65955,                0.36807,                 1.1726,                0.63192,                0.97726,               0.008218,               0.008218,               0.008218
                     20,                 1.0548,                0.56391,                0.91829,                0.79187,                0.57766,                0.64057,                0.36066,                 1.1506,                0.72214,                 0.9786,               0.008119,               0.008119,               0.008119
